Ausgabe;Datum;Originaltitel;Neuauflage­datum;Neuauflagetitel
LTB 1;09.10.1967;Der Kolumbusfalter und andere Abenteuer;1997/2020;Der Kolumbusfalter
LTB 2;Jan 68;Hallo...hier Micky!;1997/2015/;Das ewige Feuer
LTB 3;Mrz 68;Onkel Dagoberts Millionen;1997/2020;Der Gürtel aus dem Morgenland
LTB 4;Jul 68;Donald, Koenig des Wilden Westens;1997/2020;In geheimer Mission
LTB 5;Okt 68;Onkel Dagobert bleibt Sieger;1997/2020;Allein auf einer Insel
LTB 6;1968;Micky Parade;1997/2015;Die Reise zum Mond
LTB 7;22.05.1969;Donald in 1000 Noeten;1997/2015;Auf der Suche nach dem Füllhorn
LTB 8;Jul 69;Donald gibt nicht auf;1997/2015;Der fliegende Schotte
LTB 9;Okt 69;Micky ist der Groesste;1997/2020;Die Piraten des gelben Meeres
LTB 10;22.12.1969;Mit Onkel Dagobert auf Weltreise;1997/2020;Aladins Grotte
LTB 11;Mrz 70;Hexenzauber mit Micky und Goofy;1997/2015;Der rätselhafte Eisberg
LTB 12;Jun 70;Donald in Hypnose;1997/2017;Die grünen Steine der Gapas-Gapas
LTB 13;Sep 70;Micky in Gefahr;1997/2017;Der Mann aus Ping-Pong
LTB 14;Nov 70;Donald sucht Streit;1997/2017;Die Dampfwalzen-Rallye
LTB 15;Apr 71;Abenteuer mit Micky und Goofy;1997/2015;Der Diamantenkaiser
LTB 16;Jun 71;Donald in 1000 und einer Nacht;1997;Die Reise um die Welt
LTB 17;Sep 71;Micky und Minni;1997/2017;Die Wikinger-Expedition
LTB 18;Nov 71;Donald ist unschlagbar;1997/2015;Gekreuzte Klingen
LTB 19;Mrz 72;Pech fuer die Panzerknacker;1997/2017;Das falsche Gold
LTB 20;26.05.1972;Onkel Dagobert sieht rot;1997/2015;Der Hahn aus Mexiko
LTB 21;08.08.1972;7:0 fuer Onkel Dagobert;1998/2017;Das Gold-Elixier
LTB 22;13.12.1972;Donald auf grosser Fahrt;1998/2017;Der alte Pirat
LTB 23;Feb 73;Ritter Donald ist der Beste;1998/2014;In Kaiser Dagokarls Diensten
LTB 24;21.05.1973;Donald geht ein Licht auf;1998/2014;Die Platinquelle
LTB 25;02.08.1973;Tick, Trick und Track raeumen auf;1998;Der Zebradiamant
LTB 26;12.11.1973;Onkel Dagobert schafft's allein;1998/2017;Der wildgewordene Doppelgänger
LTB 27;18.02.1974;Donald der Grosse;1998;Beim König der Meere
LTB 28;06.05.1974;Wer wagt, gewinnt;1998/2017;Die Kantenamphore
LTB 29;01.07.1974;Micky, der Westernheld;1998;Das kostbare Korallenkänguruh
LTB 30;09.09.1974;Hier gehts rund;1998/2015;Die Gelbfußindianer
LTB 31;04.11.1974;Unverhofft kommt oft;1998;Die rigorose Räumungsklage
LTB 32;10.02.1975;Donald im Glueck;1998;Villa zu vermieten!
LTB 33;14.04.1975;Ein Milliardaer hat's schwer;1998;Der Schatz des Odysseus
LTB 34;01.05.1975;Supermicky;1998;Der Mann im Mond
LTB 35;11.08.1975;Aus Onkel Donalds Memoiren;1998/2017;Bräutigam wider Willen
LTB 36;13.10.1975;Onkel Donald auf heisser Spur;1998/2017;Der Rasende Kurier
LTB 37;24.11.1975;Ehrlich spart am laengsten;1998;Ein harter Kampf
LTB 38;09.02.1976;Donald hier - Donald da;1998;Die durchsichtigen Berge
LTB 39;12.04.1976;Eins, zwei, drei - grosse Hexerei;1998;Der Hexen-Blitzableiter
LTB 40;14.06.1976;Auf geht's Micky;1998;Der Kompass des großen Khan
LTB 41;09.08.1976;Donald mal ganz anders;1998/2017;Jetzt kommt Phantomias!
LTB 42;01.10.1976;Micky denkt am schnellsten;1998;Flug ins Ungewisse
LTB 43;22.11.1976;Unterwegs in Sachen Gold;1998;Der Schatz des Pharaos
LTB 44;Jan 77;Phantomias fliegt wieder;1998;Phantomias ist wieder da!
LTB 45;Mrz 77;Bahn frei fuer Donald!;1998;Die Weltraum-Kur
LTB 46;Mai 77;Micky hat den Bogen raus;1998;Das Geheimnis des hohlen Berges
LTB 47;01.06.1977;Hoppla, die Ducks kommen;1998;Abenteuer in Mexico
LTB 48;11.07.1977;Volltreffer fuer Micky;1998;Der Rote Drache
LTB 49;12.09.1977;Ohne Fleiss kein Preis;1998;Der Kalif des Halbmonds
LTB 50;14.11.1977;Dagobert gewinnt immer;1998;Das verflixte Elixier
LTB 51;09.01.1978;Kopf hoch, Donald!;1998;König Drachoberts Dukaten
LTB 52;Mrz 78;Micky immer auf Achse;1998;In geheimer Mission
LTB 53;24.04.1978;Dagobert, der Milliardenakrobat;1998;Die Bombastium-Expedition
LTB 54;05.06.1978;Micky, der Meisterdetektiv;1998/2017;Die grüne Sphinx
LTB 55;10.07.1978;Dagobert macht Geschichten;1998;Der Löwenbändiger
LTB 56;11.09.1978;Achtung - fertig - los!;1998;Atlantis in Gefahr
LTB 57;23.11.1978;Phantomias gegen Phantomime;1998/2017;Phantomias gegen Phantomime
LTB 58;08.01.1979;Donald, der Held des Tages;1998/2017;Donald, Prinz von Duckenmark
LTB 59;12.03.1979;Frisch erzaehlt ist halb gewonnen;1998;Die Zauberschuhe
LTB 60;07.05.1979;Donald ohne Furcht und Tadel;1998;Bei den Nachtwandler-Indianern
LTB 61;11.06.1979;Ohne Donald geht es nicht!;1998;Unternehmen Kürbisan
LTB 62;09.07.1979;Micky auf Gespensterjagd;1998;Das doppelte Geheimnis des Schwarzen Phantoms
LTB 63;10.09.1979;Micky, der rasende Reporter;1998;Der Zauberrubin
LTB 64;12.11.1979;Onkel Dagoberts Traumreisen;1998;Düsentrieb unter Verdacht
LTB 65;14.01.1980;Spass mit Micky und Minni;1998;Der schurkische Magnetofix
LTB 66;10.03.1980;Donald dreht durch;1998;Kampf um die Reistafel
LTB 67;12.05.1980;Micky Maus - Superstar;1998;Auf den Spuren der Indianer
LTB 68;09.06.1980;Alles Gute, Donald!;1998/2017;Die Watschenkappe von Oja
LTB 69;14.07.1980;Dagoberts grosse Schau;1998;Der Südsee-Yeti
LTB 70;15.09.1980;Rund um die Welt mit Micky Maus;1998/2017;Helden des Weltraums
LTB 71;10.11.1980;Die Geschaefte des Onkel Dagobert;1998;Abenteuer in Taba-Taba
LTB 72;12.01.1981;Viel Laerm um Donald;1998;Der Geist aus der Ming-Vase
LTB 73;09.03.1981;Micky greift ein;1998;Das falsche Gespenst
LTB 74;11.05.1981;Der Stolz der Familie;1998;Linsen aus Babylonien
LTB 75;15.06.1981;Ferien mit Phantomias;1998;Phantomias greift durch!
LTB 76;13.07.1981;Ein Fall fuer Micky;1998;Die Kralle der Kali
LTB 77;14.09.1981;Gestatten, mein Name ist Duck!;1998;Agent QQ7 §§
LTB 78;09.11.1981;Onkel Dagobert gibt sich die Ehre;1998;Gefährliche Versteckspiele
LTB 79;11.01.1982;Dagobert Duck auf Taler-Safari;1998;Gnadenlose Gegner
LTB 80;08.03.1982;Fantastische Geschichten mit Micky Maus;1998;Ärger mit den Vorfahren
LTB 81;10.05.1982;Donald im Rampenlicht;1998;Der Kampf ums Gold
LTB 82;14.06.1982;Donald vor! Noch ein Tor!;1998;Das erste Fußballspiel der Welt
LTB 83;12.07.1982;Phantomias bittet zum Tanz;1998;Phantomias und die schwarze Maske
LTB 84;13.09.1982;Mit Volldampf ins Abenteuer;1998;Der Autoklau geht um
LTB 85;15.11.1982;Ein Hoch auf Donald Duck;1998;Der Zauberwald
LTB 86;10.01.1983;Aus dem Leben eines Milliardaers;1998;Ein gefährlicher Auftrag
LTB 87;14.03.1983;Micky ist wieder da!;1998;Das grüne Feuer
LTB 88;19.05.1983;Donald sticht in See;1998;Der schwarze Korsar
LTB 89;13.06.1983;Der Boss bin ich!;1998;Onkel Dagobert hoch drei
LTB 90;11.07.1983;Mickys Mondfahrt;1998;Mondbasis in Gefahr
